Restaurants,Pho Dac Biet L,Pho 2 Topping equivalent L,Address,Google Reviews,Google Rating,Notes
Bamboo Pho and Tea,15.99,14.99,"4401 Carlisle Pike Ste F, Camp Hill, PA 17011",330,4.7,
Little Saigon,14,13,"2800 Paxton St, Harrisburg, PA 17111",438,4.6,Yelp
Pho 7 Spice,14.95,14.95,"4830 Carlisle Pike. Ste D8. Mechanicsburg, PA",387,4.4,9-26-2024 menu
Pho Kim's,16,14,"5490 Derry St B, Harrisburg, PA 17111",613,4.6,
Pho La Vie,17.95,15.95,"6003 Allentown Blvd, Harrisburg, PA 17112",419,4.6,
Pho 99,14.95,14.95,"1030 S 13th St, Harrisburg, PA 17104",327,4.3,
Pho 3 Mien,15.25,15.49,"314 S 10th St, Lemoyne, PA 17043",536,4.4,
Den Pho & Banh Mi,14,14,"304 S Progress Ave rear, Harrisburg, PA 17109",328,4.3,
The LA Squared Vietnamese Restaurant,15.99,15.99,"304 Reily St, Harrisburg, PA 17102",715,4.5,
