"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-09","4.92"," 1501","0.00",,"58","37","  100","  100","12.1","15.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-10","1.12"," 2231","0.00",,"60","37","  340","  350","10.1","14.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-11","2.91"," 1055","0.00",,"52","43","  340","  330","8.9","14.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-12","2.91"," 2338","0.11",,"51","34","  110","   90","12.1","16.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-13","10.51"," 2333","1.06",,"45","34","  300","  290","23.0","34.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-14","11.86"," 0813","0.00",,"40","32","  310","  320","21.9","33.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-15","4.70"," 2350","0.01",,"44","22","  150","  300","14.1","19.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-16","10.07"," 0506","0.01",,"46","34","  280","  290","25.9","40.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-17","9.62"," 1456","0.11",,"36","26","  290","  260","23.9","35.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-18","8.50"," 1400","0.00",,"46","23","  230","  250","19.9","29.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-19","5.59"," 0025","0.00",,"46","27","  340","  310","14.1","19.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-20","5.82"," 1156","0.00",,"45","25","  100","   90","12.1","16.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-21","6.26"," 2355","0.00",,"46","24","  120","  120","13.0","21.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-22","4.47"," 0007","0.21",,"43","32","  140","  120","12.1","18.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-23","2.91"," 1516","0.00",,"49","35","  310","  320","12.1","15.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-24","6.93"," 1340","0.05",,"43","31","   20","   10","16.1","25.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-25","5.37"," 1344","0.00",,"47","21","  190","  190","14.1","19.0",,,,
