Date,Temp_High,Precip_Type
2024-09-28,71,Rain
2024-09-29,66,Rain
2024-09-30,67,Rain
2024-10-01,68,Rain
2024-10-02,66,None
2024-10-03,76,None
2024-10-04,71,None
2024-10-05,76,None
2024-10-06,78,None
2024-10-07,74,Rain
2024-10-08,70,None
2024-10-09,70,None
2024-10-10,64,None
2024-10-11,72,None
2024-10-12,76,None
2024-10-13,82,None
2024-10-14,68,None
2024-10-15,59,None
2024-10-16,60,None
2024-10-17,62,None
2024-10-18,69,None
2024-10-19,73,None
2024-10-20,76,None
2024-10-21,81,None
2024-10-22,83,None
2024-10-23,80,None
2024-10-24,67,None
2024-10-25,66,None
2024-10-26,66,None
2024-10-27,59,None
2024-10-28,64,None
2024-10-29,69,None
2024-10-30,78,None
2024-10-31,85,None
2024-11-01,79,None
2024-11-02,62,None
2024-11-03,59,None
2024-11-04,63,None
2024-11-05,77,None
2024-11-06,83,None
2024-11-07,75,None
2024-11-08,71,None
2024-11-09,57,None
2024-11-10,57,Rain
2024-11-11,69,Rain
2024-11-12,59,None
2024-11-13,51,None
2024-11-14,50,Rain
2024-11-15,55,Rain
2024-11-16,59,None
2024-11-17,56,None
2024-11-18,69,None
2024-11-19,60,Rain
2024-11-20,64,Rain
2024-11-21,51,Rain
2024-11-22,43,Rain
2024-11-23,53,None
2024-11-24,54,None
2024-11-25,57,None
2024-11-26,60,Rain
2024-11-27,51,Rain
2024-11-28,49,Rain
2024-11-29,44,None
2024-11-30,37,None
2024-12-01,41,None
2024-12-02,40,None
2024-12-03,44,None
2024-12-04,41,None
2024-12-05,43,Rain
2024-12-06,37,None
2024-12-07,40,None
2024-12-08,61,None
2024-12-09,45,Rain
2024-12-10,51,Rain
2024-12-11,54,Rain
2024-12-12,40,None
2024-12-13,35,None
2024-12-14,34,None
2024-12-15,36,Mixed
2024-12-16,43,Rain
2024-12-17,59,None
2024-12-18,50,Rain
2024-12-19,45,None
2024-12-20,36,Mixed
2024-12-21,36,None
2024-12-22,28,None
2024-12-23,31,None
2024-12-24,40,None
2024-12-25,41,None
2024-12-26,37,None
2024-12-27,43,Rain
2024-12-28,47,Rain
2024-12-29,65,Rain
2024-12-30,61,None
2024-12-31,59,Rain
